,year,company,inn,money,region_id,region
43,2015,"Санкт-Петербургский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7838027596,5.0,78,г. Санкт-Петербург
44,2015,"ООО ""Главная Инвестиционная Компания""",7810833099,1.5,78,г. Санкт-Петербург
45,2015,"ЗАО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""РЕКОНСТРУКЦИЯ""",7826668651,1.4,78,г. Санкт-Петербург
46,2015,"ООО ""Строительная компания ""Невская недвижимость""",7841368525,1.1,78,г. Санкт-Петербург
47,2015,"Некоммерческое партнерство ""Объединение строителей Санкт-Петербурга""",7838029642,1.0,78,г. Санкт-Петербург
48,2015,"ООО ""ЗВЕЗДНАЯ""",7810599392,1.0,78,г. Санкт-Петербург
49,2015,"ООО ""Производственная фирма ВИС""",7816158919,1.0,78,г. Санкт-Петербург
50,2014,"Санкт-Петербургский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7838027596,14.282988,78,г. Санкт-Петербург
51,2014,"ЗАО ""Научно-производственное объединение ""Реконструкция""",7826668651,10.7,78,г. Санкт-Петербург
52,2014,"Ленинградский областной региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7842012426,7.401348,78,г. Санкт-Петербург
53,2014,"ООО ""Инвестиционная компания ""Евроинвест""",7839011599,1.5,78,г. Санкт-Петербург
54,2014,"ООО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""НЕВСКАЯ НЕДВИЖИМОСТЬ""",7841368525,1.1,78,г. Санкт-Петербург
55,2013,"Санкт-Петербургский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7838027596,7.092,78,г. Санкт-Петербург
56,2013,"Ленинградский областной региональный общественный фонд поддержки Всероссийской политической партии ""Единя я Россия""",7842012426,6.875,78,г. Санкт-Петербург
57,2013,"ЗАО ""Научно-производственное объединение ""Реконструкция""",7826668651,0.320616,78,г. Санкт-Петербург
58,2012,"Ленинградский областной региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7842012426,8.5,78,г. Санкт-Петербург
59,2012,"Санкт-Петербургский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7838027596,2.805,78,г. Санкт-Петербург
60,2012,"Общество с ограниченной ответственностью ""Строительное управление""",7805040841,2.0,78,г. Санкт-Петербург
61,2011,"Санкт-Петербургский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7838027596,41.453431,78,г. Санкт-Петербург
62,2011,"Ленинградский областной региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7842012426,26.292342,78,г. Санкт-Петербург
63,2011,"Общество с ограниченной ответственностью ""ИНВЕСТ-ПРОЕКТ""",7805059296,25.0,78,г. Санкт-Петербург
64,2011,Союз строительных организаций Ленинградской области,7841000509,7.0,78,г. Санкт-Петербург
65,2011,"Общество с ограниченной ответственностью ""СК Стройкомплект""",7806133873,5.0,78,г. Санкт-Петербург
66,2011,"Общество с ограниченной ответственностью ""СПб-Строй""",7841414806,5.0,78,г. Санкт-Петербург
67,2011,"Закрытое акционерное общество ""Универсальное Строительное объединение""",7830000867,2.0,78,г. Санкт-Петербург
68,2011,"Общество с ограниченной ответственностью ""Инвестиционная компания ""Евроинвест""",7839011599,1.5,78,г. Санкт-Петербург
69,2011,"Закрытое акционерное общество ""Корпорация Евротракт""",7805294356,1.0,78,г. Санкт-Петербург
70,2011,"Некоммерческое партнерство по содействию развитию малого и среднего бизнеса ""Союз Компаний ""Стратегия Рост""",7811116351,1.0,78,г. Санкт-Петербург
71,2011,"Закрытое акционерное общество ""Арсенал-1""",7841385672,1.0,78,г. Санкт-Петербург
72,2011,"Общество с ограниченной ответственностью ""Региональный центр проектирования и документально-технического сопровождения""",7841420983,1.0,78,г. Санкт-Петербург
73,2011,"Общество с ограниченной ответственностью ""ПИК Служба Заказчика""",7842377963,1.0,78,г. Санкт-Петербург
74,2011,"Общество с ограниченной ответственностью ""Агентство корпоративных коммуникаций ""Энергетик""",7802474216,0.65,78,г. Санкт-Петербург
75,2011,"Общество с ограниченной ответственностью ""Росмат""",7801390690,0.5,78,г. Санкт-Петербург
76,2011,"Открытое акционерное общество ""Институт экспертизы строительства и проектирования""",7802492279,0.5,78,г. Санкт-Петербург
77,2011,"Закрытое акционерное общество ""Экспортно-промышленная фирма ""Судотехнология""",7805128006,0.5,78,г. Санкт-Петербург
78,2011,"Общество с ограниченной ответственностью ""Реал Строй""",7810587502,0.5,78,г. Санкт-Петербург
79,2011,"Общество с ограниченной ответственностью ""Инженерные технологии""",7810822900,0.5,78,г. Санкт-Петербург
80,2011,"Общество с ограниченной ответственностью "" ЛенНерудТорг""",7811388108,0.5,78,г. Санкт-Петербург
81,2011,"Общество с ограниченной ответственностью ""Стройкомплекс""",7816147730,0.5,78,г. Санкт-Петербург
82,2011,"Общество с ограниченной ответственностью ""Региональный вычислительный центр""",7842411406,0.5,78,г. Санкт-Петербург
83,2010,"Санкт-Петербургский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7838027596,10.941484,78,г. Санкт-Петербург
84,2010,"Ленинградский областной региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7842012426,10.553876,78,г. Санкт-Петербург
85,2009,"Ленинградский областной региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7842012426,40.435813,78,г. Санкт-Петербург
86,2009,"Санкт-Петербургский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7838027596,24.571495,78,г. Санкт-Петербург
87,2009,"Закрытое акционерное общество ""Концерн Титан-2""",7827004484,0.9,78,г. Санкт-Петербург
88,2008,"Общество с ограниченной ответственностью ""Лесторг""",7842345584,10.0,78,г. Санкт-Петербург
89,2008,"Общество с ограниченной ответственностью ""Бастион""",7838372419,10.0,78,г. Санкт-Петербург
90,2008,"Общество с ограниченной ответственностью ""Производственное предприятие ""Навигатор""",7816394377,10.0,78,г. Санкт-Петербург
91,2008,"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""ПУАЗОН""",7812045840,10.0,78,г. Санкт-Петербург
92,2008,"Общество с ограниченной ответственностью ""МСЧ №157""",7810321502,10.0,78,г. Санкт-Петербург
93,2008,"Общество с ограниченной ответственностью ""МСЧ №157 -стоматология""",7810321485,10.0,78,г. Санкт-Петербург
94,2008,"Общество с ограниченной ответственностью ""Управляющая Компания ""БалтИнвест""",7810313854,10.0,78,г. Санкт-Петербург
95,2008,"Общество с ограниченной ответственностью ""Бартон""",7810082283,10.0,78,г. Санкт-Петербург
96,2008,"Общество с ограниченной ответственностью Бассейн ""Волна""",7810078576,10.0,78,г. Санкт-Петербург
97,2008,"Общество с ограниченной ответственностью ""Спортивный комплекс ""Волна""",7810054568,10.0,78,г. Санкт-Петербург
98,2008,"Общество с ограниченной ответственностью ""Гольдштейн и партнеры""",7810045958,10.0,78,г. Санкт-Петербург
99,2008,"Общество с ограниченной ответственностью ""КомпактСервис""",7804353591,10.0,78,г. Санкт-Петербург
100,2008,"Общество с ограниченной ответственностью ""СофтЛайн""",7810069814,5.0,78,г. Санкт-Петербург
101,2008,"Санкт-Петербургский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7838027596,3.384,78,г. Санкт-Петербург
102,2008,"Закрытое акционерное общество ""КОНЦЕРН ТИТАН-2""",7827004484,1.2,78,г. Санкт-Петербург
103,2008,"Общество с ограниченной ответственностью ""Петербургская Строительная Компания""",7811134103,0.445,78,г. Санкт-Петербург
104,2006,"Санкт-Петербургское отделение межрегионального общественного фонда поддержки общественных объединений ""Народные Дома""",7816133262,10.0,78,г. Санкт-Петербург
105,2006,"Ленинградский областной региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7842012426,6.066428,78,г. Санкт-Петербург
106,2006,"Санкт-Петербургский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7838027596,2.10569,78,г. Санкт-Петербург
107,2006,"ООО ""Тайс""",7814145880,0.48625,78,г. Санкт-Петербург
108,2015,"ООО ""КОНЦЕРН МОНАРХ""",7714947625,40.0,77,г. Москва
109,2015,"ООО ""Мосэлектропрофит""",7731650014,18.5,77,г. Москва
110,2015,"ОАО ""РОТ ФРОНТ""",7705033216,17.0,77,г. Москва
111,2015,"ЗАО ""Мосрегионстрой""",7722614500,12.5,77,г. Москва
112,2015,"ООО ""ЭкоЛайн""",7734690939,11.1,77,г. Москва
113,2015,"ООО ""РУСАГРО-САХАР""",7728307368,10.0,77,г. Москва
114,2015,"ООО ""ТНС энерго Великий Новгород""",7715825806,7.0,77,г. Москва
115,2015,"ООО ""ОЙЛ ГРУПП""",7730627076,5.0,77,г. Москва
116,2015,"ООО ""Ларго М""",7719802912,3.508,77,г. Москва
117,2015,"ООО ""Мангазея Строй""",7701742236,3.0,77,г. Москва
118,2015,"ООО ""Современные Бизнес Технологии""",7723908830,2.5,77,г. Москва
119,2015,"ООО ""СТРОЙИНВЕСТКОМ""",7715952113,2.069805,77,г. Москва
120,2015,"ООО ""Группа СТАН""",7703712332,2.0,77,г. Москва
121,2015,"ООО ""ГОСТИНИЧНО-ОФИСНЫЙ КОМПЛЕКС ""БАРСКИЙ ЛУГ""",7710944278,1.2,77,г. Москва
122,2015,"ОАО ""МЕТАЛЛСЕРВИС""",7721040281,1.0,77,г. Москва
123,2015,"ООО ""Газхолодмаш""",7736540833,1.0,77,г. Москва
124,2015,"ООО ""Смарт""",7713798113,0.997805,77,г. Москва
125,2015,"ФОНД ПОДДЕРЖКИ РАЗВИТИЯ РЕГИОНОВ ""РЕГИОНАЛЬНАЯ ПЛАТФОРМА""",7707491395,0.870744,77,г. Москва
126,2015,"ООО ""Стройинвестград""",7721833837,0.8,77,г. Москва
127,2015,"ПАО ""АВИАЦИОННАЯ ХОЛДИНГОВАЯ КОМПАНИЯ ""СУХОЙ""",7740000090,0.515,77,г. Москва
128,2015,"ООО ""ПромСтрой""",7705552243,0.5,77,г. Москва
129,2014,"ООО ""ТРАНСИНВЕСТ""",7728810395,40.0,77,г. Москва
130,2014,"Региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7743064487,38.314572,77,г. Москва
131,2014,"ООО ""Север-2""",7743751480,20.5,77,г. Москва
132,2014,"ООО ""Объединенный торговый дом Привод-АЗТПА""",7714290940,15.0,77,г. Москва
133,2014,"ООО ""Промышленная Группа ТЭЛ Таврида Электрик""",7704211184,5.1,77,г. Москва
134,2014,"ООО ""Интеллектуальные Электрические Сети""",7709293582,4.0,77,г. Москва
135,2014,"Межрегиональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7709312370,2.3,77,г. Москва
136,2014,"ЗАО ""Русская продовольственная компания""",7708000762,0.5,77,г. Москва
137,2013,"Фонд поддержки Всероссийской политической партии ""Единая Россия""",7702369585,33.259925,77,г. Москва
138,2013,"Региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7743064487,32.0,77,г. Москва
139,2012,"Фонд поддержки Всероссийской политической партии ""Единая Россия""",7702369585,42.2,77,г. Москва
140,2012,"Региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7743064487,40.7,77,г. Москва
141,2012,"Общество с ограниченной ответственностью ""ИнтерметГрупп”",7730565447,20.0,77,г. Москва
142,2012,"Общество с ограниченной ответственностью ""Московский строительный трест""",7720738588,10.0,77,г. Москва
143,2012,"Общество с ограниченной ответственностью ""Вега""",7710863854,2.0,77,г. Москва
144,2011,"Фонд поддержки Всероссийской политической партии ""Единая Россия""",7702369585,41.188315,77,г. Москва
145,2011,"Общество с ограниченной ответственностью ""ВОЛГА трейд""",7730172943,40.0,77,г. Москва
146,2011,"Открытое акционерное общество ""ЛазерСервис""",7731280660,39.8,77,г. Москва
147,2011,"Региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7743064487,34.288915,77,г. Москва
148,2011,"Общество с ограниченной ответственностью ""МАГНАТЭК-Регион""",7718570680,28.0,77,г. Москва
149,2011,"Открытое акционерное общество ""ПромЭстейт""",7708092700,25.0,77,г. Москва
150,2011,"Общество с ограниченной ответственностью 'МАГНАТЭК-Ресурс""",7710573337,23.5,77,г. Москва
151,2011,"Общество с ограниченной ответственностью ""ИнтерметГрупп""",7730565447,20.0,77,г. Москва
152,2011,"Общество с ограниченной ответственностью ""НОВАПОРТ""",7704653898,15.0,77,г. Москва
153,2011,"Общество с ограниченной ответственностью ""Частное охранное предприятие ""ЕВРОЦЕМЕНТ вектор""",7708668912,15.0,77,г. Москва
154,2011,"Общество с ограниченной ответственностью ""ЭрВилль""",7724672031,15.0,77,г. Москва
155,2011,"Общество с ограниченной ответственностью ""Регионинвест""",7709654180,13.5,77,г. Москва
156,2011,"Общество с ограниченной ответственностью ""Долговой центр""",7708700370,10.0,77,г. Москва
157,2011,"Общество с ограниченной ответственностью ""СТАЛЬЭКС""",7730171410,10.0,77,г. Москва
158,2011,"Общество с ограниченной ответственностью ""Полискейп""",7703548428,7.605,77,г. Москва
159,2011,"Закрытое акционерное общество ""ЭНЭКО""",7701027469,7.0,77,г. Москва
160,2011,"Закрытое акционерное общество ""ЕВРОЦЕМЕНТ эесурс""",7708583031,6.0,77,г. Москва
161,2011,"Открытое акционерное общество ""Объединенная химическая компания ""УРАЛХИМ""",7703647595,5.0,77,г. Москва
162,2011,"Общество с ограниченной ответственностью ""Континент""",7727651329,4.0794,77,г. Москва
163,2011,"Общество с ограниченной ответственностью ""Строй -ТК""",7726518155,4.034,77,г. Москва
164,2011,"Общество с ограниченной ответственностью ""Торговый Дом Мечел-Майнинг""",7714840537,3.0,77,г. Москва
165,2011,"Открытое акционерное общество ""УСК МОСТ""",7702322731,1.0,77,г. Москва
166,2011,"Открытое акционерное общество ""Кондитерский концерн Бабаевский""",7708029391,1.0,77,г. Москва
167,2011,"Общество с ограниченной ответственностью ""Вега""",7710863854,1.0,77,г. Москва
168,2011,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОРБЕРТ""",7721077517,1.0,77,г. Москва
169,2011,"Общество с ограниченной ответственностью ""АЛЬФА АУДИТ""",7729144853,0.752,77,г. Москва
170,2011,"Общество с ограниченной ответственностью ""МЕД-ФУД""",7701272975,0.5,77,г. Москва
171,2011,"Закрытое акционерное общество ""Русский Аграрный Проект""",7704234791,0.5,77,г. Москва
172,2011,"Общество с ограниченной ответственностью ""Компания ""ГЕДЕОН""",7710234091,0.5,77,г. Москва
173,2010,"Фонд поддержки Всероссийской политической партии ""Единая Россия""",7702369585,41.978219,77,г. Москва
174,2010,"Региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7743064487,26.830492,77,г. Москва
175,2010,"Закрытое акционерное общество ""ЕВРОЦЕМЕНТ ресурс""",7708583031,23.0,77,г. Москва
176,2010,"Общество с ограниченной ответственностью Аудиторская фирма ""Динас-Аудит""",7710290762,12.234611,77,г. Москва
177,2010,"Открытое акционерное общество ""ЛазерСервис""",7731280660,9.8,77,г. Москва
178,2010,"Общество с ограниченной ответственностью ""ТК Спектрум""",7704653986,9.6,77,г. Москва
179,2010,"Общество с ограниченной ответственностью ""Строй-ТК""",7726518155,5.92,77,г. Москва
180,2010,"Общество с ограниченной ответственностью ""Альта""",7731570714,4.8,77,г. Москва
181,2010,"Общество с ограниченной ответственностью ""Выбор-Экспо-Финанс""",7730512974,3.5,77,г. Москва
182,2010,"Общество с ограниченной ответственностью ""АЛЬФА-АУДИТ""",7729144853,1.786,77,г. Москва
183,2010,"Общество с ограниченной ответственностью ""Электрострой""",7724638552,0.94,77,г. Москва
184,2010,"Открытое акционерное общество ""Ямалтрансстрой""",7731507906,0.57,77,г. Москва
185,2009,"Открытое акционерное общество ""Московский телевизионный завод ""Рубин""",7730036997,43.3,77,г. Москва
186,2009,"Фонд поддержки Всероссийской политической партии ""Единая Россия""",7702369585,41.6854,77,г. Москва
187,2009,"Региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",7743064487,32.642,77,г. Москва
188,2009,"Закрытое акционерное общество ""ЕВРОЦЕМЕНТ трейд""",7708583024,15.0,77,г. Москва
189,2009,"Общество с ограниченной ответственностью ""НетКом-Р""",7730516760,7.5,77,г. Москва
190,2009,"Общество с ограниченной ответственностью ""Полискейп""",7703548428,7.0,77,г. Москва
191,2009,"Общество с ограниченной ответственностью ""Г орбушкин ДОМ""",7730516753,4.5,77,г. Москва
192,2009,"Закрытое акционерное общество ""ЭНЭКО""",7701027469,4.0,77,г. Москва
193,2009,"Общество с ограниченной ответственностью Аудиторская фирма ""Динас-Аудит""",7710290762,3.663,77,г. Москва
194,2009,"Закрытое акционерное общество ""Холдинговая Компания ""ГЕОТЕК""",7710514395,3.0,77,г. Москва
195,2009,"Общество с ограниченной ответственностью Страховая компания ""Элита""",7728282018,3.0,77,г. Москва
196,2009,Общество с ограниченной ответственностью Инвестиционно-финансовая компания «ЛКБ-ИНВЕСТ»,7705708194,2.0,77,г. Москва
197,2009,"Общество с ограниченной ответственностью ""Строй-ТК""",7726518155,1.76,77,г. Москва
198,2009,"Общество с ограниченной ответственностью ""АЛЬФА-АУДИТ""",7729144853,1.7,77,г. Москва
199,2009,"Общество с ограниченной ответственностью ""ТРАНСМЕР РУС""",7701193924,1.36,77,г. Москва
200,2009,"Окрытое акционерное общество ""Минерально -Химическая Компания ""ЕвроХим""",7721230290,1.2,77,г. Москва
201,2009,"Закрытое Акционерное Общество ""Капитал Медицинское страхование""",7709028619,1.0,77,г. Москва
202,2009,"Закрытое акционерное общество ""Хлебозавод № 22""",7731014604,1.0,77,г. Москва
203,2009,"Общество с ограниченной ответственностью ""Эксперт Карго Транс""",7723182595,1.0,77,г. Москва
204,2009,"Закрытое акционерное общество Рекламно-информационный центр ""Человек и лекарство""",7721221312,0.5,77,г. Москва
205,2009,"Открытое акционерное общество по нефти и нефтепродуктам ""Нефтересурсы""",7705035051,0.5,77,г. Москва
206,2008,"Общество с ограниченной ответственностью Аудиторская фирма ""Динас-Аудит""",7710290762,10.036127,77,г. Москва
207,2008,"Общество с ограниченной ответственностью ""Центр городских перевозок""",7728509149,10.0,77,г. Москва
208,2008,"Общество с ограниченной ответственностью ""Мегас""",7722523683,10.0,77,г. Москва
209,2008,"Общество с ограниченной ответственностью ""Кредо""",7720512781,10.0,77,г. Москва
210,2008,"Общество с ограниченной ответственностью ""Транснефтьсервис С""",7709331020,10.0,77,г. Москва
211,2008,"Закрытое акционерное общество ""ЕВРОЦЕМЕНТ ресурс""",7708583031,10.0,77,г. Москва
212,2008,"Закрытое акционерное общество ""ЕВРОЦЕМЕНТ трейд""",7708583024,10.0,77,г. Москва
213,2008,"Общество с ограниченной ответственностью ""БизнесКонсалт""",7708548125,10.0,77,г. Москва
214,2008,"Закрытое акционерное общество ""ЧТПЗ-Комплексные Трубные Системы""",7705468513,10.0,77,г. Москва
215,2008,"Закрытое акционерное общество ""ВНИКОР""",7705145632,10.0,77,г. Москва
216,2008,"Закрытое акционерное общество ""ЭССТэ""",7705140144,10.0,77,г. Москва
217,2008,"Фонд поддержки Всероссийской политической партии ""Единая Россия""",7702369585,10.0,77,г. Москва
218,2008,"Общество с ограниченной ответственностью ""Косметик-Фарм""",7701294369,10.0,77,г. Москва
219,2008,"Общество с ограниченной ответственностью ""АНТЕЛ""",7701627113,9.59015,77,г. Москва
220,2008,"Общество с ограниченной ответственностью ""ТРАНСМЕР РУС""",7701193924,6.42,77,г. Москва
221,2008,"Общество с ограниченной ответственностью ""Новые спортивные технологии""",7706500819,6.0,77,г. Москва
222,2008,"Общество с ограниченной ответственностью ""Эксперт Карго Транс""",7723182595,5.8751,77,г. Москва
223,2008,"Региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия """,7743064487,5.474837,77,г. Москва
224,2008,Общество с ограниченной ответственностью Инвестиционно-финансовая компания «ЛКБ-ИНВЕСТ»,7705708194,4.66,77,г. Москва
225,2008,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ САХАР""",7709243408,3.5,77,г. Москва
226,2008,"Общество с ограниченной ответственностью ""РАССВЕТ""",7729507955,3.0,77,г. Москва
227,2008,"Общество с ограниченной ответственностью ""ФИНРЭЙТ""",7726301988,2.491777,77,г. Москва
228,2008,"Общество с ограниченной ответственностью ""Полискейп""",7703548428,2.25,77,г. Москва
229,2008,"Общество с ограниченной ответственностью ""Регион Ресурс-МТ""",7710660501,1.98,77,г. Москва
230,2008,"Открытое акционерное общество ""Российская инновационная топливо-энергетическая компания""",7736036626,1.0,77,г. Москва
231,2008,"Общество с ограниченной ответственностью ""Строительные Инвестиции""",7710577109,1.0,77,г. Москва
232,2008,"Общество с ограниченной ответственностью ""Промфинанс""",7719214389,0.996711,77,г. Москва
233,2008,"Закрытое акционерное общество ""ЭНЭКО""",7701027469 ',0.6,77,г. Москва
234,2008,"Общество с ограниченной ответственностью ""ЭНЭКО-Консалт""",7714604762,0.59,77,г. Москва
235,2008,"Закрытое акционерное общество ""УНИВЕР""",7709232036,0.55,77,г. Москва
236,2008,"Общество с ограниченной ответственностью ""ВАЙЯ""",7705695474,0.5,77,г. Москва
237,2008,"Закрытое акционерное общество ""ИталКосметика""",7703286162,0.5,77,г. Москва
238,2007,"ООО ""Лига групп""",7708586339,0.43,77,г. Москва
239,2007,"Фонд поддержки и развития крестьянских(фермерских)хозяйств""Российский фермер""",7708025284,0.4,77,г. Москва
240,2006,"Акционерный коммерческий банк содействия благотворительности и духовному развитию Отечества ""ПЕРЕСВЕТ"" (Закрытое акционерное общество)",7703074601,20.0,77,г. Москва
241,2006,"Общество с ограниченной ответственностью Страховой брокер ""ВЕГУС""",7708198015,11.406912,77,г. Москва
242,2006,"Региональная общественная организация содействия правовому просвещению ""Культура и Право""",7709430486,10.075124,77,г. Москва
243,2006,"Межрегиональный Общественный фонд поддержки общественных объединений ""Народные дома""",7701191451,10.0,77,г. Москва
244,2006,"Некоммерческая организация Фонд ""Развитие регионов""",7720240224,10.0,77,г. Москва
245,2006,"Некоммерческая организация Фонд ""Политическая стабильность""",7733092774,10.0,77,г. Москва
